opportunity_id,lead_id,created_date,close_date,stage,amount,probability,assigned_rep,source,product,lost_reason,days_in_stage,last_activity_date
OPP-2024-001,LD-2024-001,2024-01-10,2024-03-15,Closed Won,45000,100,Sarah Chen,Organic Search,RevOps Platform,,0,2024-03-15
OPP-2024-002,LD-2024-002,2024-01-12,2024-04-10,Closed Won,78000,100,Mike Rodriguez,Paid Social,Enterprise Suite,,0,2024-04-10
OPP-2024-003,LD-2024-004,2024-01-09,2024-03-30,Closed Won,125000,100,Jessica Park,Webinar,Enterprise Suite,,0,2024-03-30
OPP-2024-004,LD-2024-006,2024-01-10,2024-02-28,Closed Won,32000,100,Sarah Chen,Partner Referral,Standard Plan,,0,2024-02-28
OPP-2024-005,LD-2024-008,2024-01-14,2024-04-15,Negotiation,55000,85,Jessica Park,Trade Show,RevOps Platform,,12,2024-07-20
OPP-2024-006,LD-2024-009,2024-01-16,2024-03-01,Closed Lost,42000,0,Tom Wilson,Paid Social,Standard Plan,Budget constraints,0,2024-03-01
OPP-2024-007,LD-2024-011,2024-01-18,2024-05-01,Closed Won,67000,100,Mike Rodriguez,Organic Search,RevOps Platform,,0,2024-05-01
OPP-2024-008,LD-2024-012,2024-01-17,2024-04-20,Closed Won,89000,100,Jessica Park,Webinar,Enterprise Suite,,0,2024-04-20
OPP-2024-009,LD-2024-014,2024-01-19,2024-03-15,Closed Won,156000,100,Sarah Chen,Partner Referral,Enterprise Suite,,0,2024-03-15
OPP-2024-010,LD-2024-015,2024-01-21,2024-04-30,Proposal,72000,75,Mike Rodriguez,Trade Show,RevOps Platform,,8,2024-07-18
OPP-2024-011,LD-2024-018,2024-01-25,2024-04-10,Closed Won,95000,100,Sarah Chen,Paid Social,Enterprise Suite,,0,2024-04-10
OPP-2024-012,LD-2024-019,2024-01-24,2024-05-15,Closed Won,41000,100,Mike Rodriguez,Webinar,Standard Plan,,0,2024-05-15
OPP-2024-013,LD-2024-021,2024-01-29,2024-04-25,Closed Won,83000,100,Tom Wilson,Organic Search,RevOps Platform,,0,2024-04-25
OPP-2024-014,LD-2024-022,2024-01-29,2024-03-20,Closed Won,38000,100,Sarah Chen,Trade Show,Standard Plan,,0,2024-03-20
OPP-2024-015,LD-2024-024,2024-01-30,2024-04-05,Closed Won,147000,100,Jessica Park,Partner Referral,Enterprise Suite,,0,2024-04-05
OPP-2024-016,LD-2024-027,2024-02-02,2024-05-20,Closed Won,76000,100,Mike Rodriguez,Webinar,RevOps Platform,,0,2024-05-20
OPP-2024-017,LD-2024-028,2024-02-06,2024-04-15,Closed Lost,28000,0,Jessica Park,Paid Search,Standard Plan,Competition,0,2024-04-15
OPP-2024-018,LD-2024-029,2024-02-05,2024-05-10,Closed Won,64000,100,Tom Wilson,Trade Show,RevOps Platform,,0,2024-05-10
OPP-2024-019,LD-2024-031,2024-02-08,2024-05-25,Closed Won,92000,100,Mike Rodriguez,Organic Search,Enterprise Suite,,0,2024-05-25
OPP-2024-020,LD-2024-033,2024-02-08,2024-04-30,Closed Won,58000,100,Tom Wilson,Webinar,RevOps Platform,,0,2024-04-30
OPP-2024-021,LD-2024-034,2024-02-09,2024-05-05,Closed Won,134000,100,Sarah Chen,Partner Referral,Enterprise Suite,,0,2024-05-05
OPP-2024-022,LD-2024-036,2024-02-12,2024-05-15,Closed Won,49000,100,Jessica Park,Trade Show,Standard Plan,,0,2024-05-15
OPP-2024-023,LD-2024-039,2024-02-16,2024-05-30,Closed Won,87000,100,Mike Rodriguez,Paid Social,RevOps Platform,,0,2024-05-30
OPP-2024-024,LD-2024-040,2024-02-15,2024-06-10,Closed Won,178000,100,Jessica Park,Webinar,Enterprise Suite,,0,2024-06-10
OPP-2024-025,LD-2024-041,2024-02-19,2024-05-20,Closed Won,61000,100,Tom Wilson,Organic Search,RevOps Platform,,0,2024-05-20
OPP-2024-026,LD-2024-042,2024-02-18,2024-06-15,Closed Won,112000,100,Sarah Chen,Partner Referral,Enterprise Suite,,0,2024-06-15
OPP-2024-027,LD-2024-043,2024-02-20,2024-05-25,Closed Won,73000,100,Mike Rodriguez,Trade Show,RevOps Platform,,0,2024-05-25
OPP-2024-028,LD-2024-046,2024-02-24,2024-06-20,Closed Won,98000,100,Sarah Chen,Paid Social,Enterprise Suite,,0,2024-06-20
OPP-2024-029,LD-2024-048,2024-02-24,2024-06-05,Closed Won,84000,100,Jessica Park,Webinar,RevOps Platform,,0,2024-06-05
OPP-2024-030,LD-2024-049,2024-02-26,2024-05-30,Closed Won,47000,100,Tom Wilson,Trade Show,Standard Plan,,0,2024-05-30
OPP-2024-031,LD-2024-051,2024-02-27,2024-06-25,Closed Won,163000,100,Mike Rodriguez,Partner Referral,Enterprise Suite,,0,2024-06-25
OPP-2024-032,LD-2024-053,2024-03-03,2024-06-10,Closed Won,89000,100,Tom Wilson,Organic Search,RevOps Platform,,0,2024-06-10
OPP-2024-033,LD-2024-055,2024-03-03,2024-06-15,Closed Won,52000,100,Mike Rodriguez,Webinar,Standard Plan,,0,2024-06-15
OPP-2024-034,LD-2024-056,2024-03-05,2024-06-20,Closed Won,127000,100,Jessica Park,Trade Show,Enterprise Suite,,0,2024-06-20
OPP-2024-035,LD-2024-057,2024-03-08,2024-06-25,Closed Lost,34000,0,Tom Wilson,Paid Search,Standard Plan,Timeline mismatch,0,2024-06-25
OPP-2024-036,LD-2024-060,2024-03-07,2024-07-05,Closed Won,195000,100,Jessica Park,Partner Referral,Enterprise Suite,,0,2024-07-05
OPP-2024-037,LD-2024-061,2024-03-10,2024-06-30,Closed Won,76000,100,Tom Wilson,Paid Social,RevOps Platform,,0,2024-06-30
OPP-2024-038,LD-2024-062,2024-03-09,2024-06-15,Closed Won,43000,100,Sarah Chen,Webinar,Standard Plan,,0,2024-06-15
OPP-2024-039,LD-2024-063,2024-03-11,2024-07-10,Closed Won,108000,100,Mike Rodriguez,Trade Show,Enterprise Suite,,0,2024-07-10
OPP-2024-040,LD-2024-067,2024-03-17,2024-06-20,Closed Lost,29000,0,Mike Rodriguez,Paid Social,Standard Plan,Budget constraints,0,2024-06-20
OPP-2024-041,LD-2024-068,2024-03-15,2024-07-15,Closed Won,91000,100,Jessica Park,Webinar,RevOps Platform,,0,2024-07-15
OPP-2024-042,LD-2024-069,2024-03-16,2024-07-20,Closed Won,172000,100,Tom Wilson,Partner Referral,Enterprise Suite,,0,2024-07-20
OPP-2024-043,LD-2024-070,2024-03-18,2024-06-25,Closed Won,58000,100,Sarah Chen,Trade Show,RevOps Platform,,0,2024-06-25
OPP-2024-044,LD-2024-074,2024-03-23,2024-07-25,Closed Won,85000,100,Sarah Chen,Paid Social,RevOps Platform,,0,2024-07-25
OPP-2024-045,LD-2024-075,2024-03-22,2024-07-10,Closed Won,39000,100,Mike Rodriguez,Webinar,Standard Plan,,0,2024-07-10
OPP-2024-046,LD-2024-076,2024-03-24,2024-07-30,Closed Won,119000,100,Jessica Park,Trade Show,Enterprise Suite,,0,2024-07-30
OPP-2024-047,LD-2024-077,2024-03-26,2024-07-05,Closed Won,67000,100,Tom Wilson,Organic Search,RevOps Platform,,0,2024-07-05
OPP-2024-048,LD-2024-078,2024-03-25,2024-08-10,Negotiation,203000,90,Sarah Chen,Partner Referral,Enterprise Suite,,15,2024-07-22
OPP-2024-049,LD-2024-081,2024-03-30,2024-07-15,Closed Won,48000,100,Tom Wilson,Paid Social,Standard Plan,,0,2024-07-15
OPP-2024-050,LD-2024-082,2024-03-29,2024-08-15,Closed Won,96000,100,Sarah Chen,Webinar,RevOps Platform,,0,2024-08-15
OPP-2024-051,LD-2024-083,2024-03-31,2024-07-20,Closed Won,54000,100,Mike Rodriguez,Trade Show,Standard Plan,,0,2024-07-20
